name,id,code,shortName,description,formName,domainType,valueType,aggregationoperator,fieldMask,categoryCombo.id,class,cycle,Inverse
[GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES] Condoms AMC,aFK6b288CDm,GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-AMC/RESULT/COMMODITIES,Condoms AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES] Condoms Ending Balance,vwtiyqGtRMc,GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-BAL/RESULT/COMMODITIES,Condoms Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES] Condoms Comments,SXhkiEjXkox,GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES,GC7/H-KRCS/CONDOMS-COMMENT/COMMENT/COMMODITIES,Condoms Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES] Condoms Under Procurement,qVdByBFDHgv,GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-PROC/RESULT/COMMODITIES,Condoms Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES] Condoms SOR Denominator,cR5gi2LHh9Q,GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-SOR-D/RESULT/COMMODITIES,Condoms SOR Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES] Condoms SOR Numerator,fM6QowAocHr,GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES,GC7/H-KRCS/CONDOMS-SOR-N/RESULT/COMMODITIES,Condoms SOR Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-14/COMMENT/IMPACT] # of new HIV infections per 1000 uninfected population,ZRYZFrbQeGx,GC7/H-KRCS/HIV I-14/COMMENT/IMPACT,GC7/H-KRCS/HIV I-14/COMMENT/IMPACT,# of new HIV infections per 1000 uninfected population,LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-14/RESULT/IMPACT] # of new HIV infections per 1000 uninfected population,bnByxyfBc0w,GC7/H-KRCS/HIV I-14/RESULT/IMPACT,GC7/H-KRCS/HIV I-14/RESULT/IMPACT,# of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
[GC7/H-KRCS/HIV I-14/TARGET/IMPACT] # of new HIV infections per 1000 uninfected population,q0HeDFo5bAb,GC7/H-KRCS/HIV I-14/TARGET/IMPACT,GC7/H-KRCS/HIV I-14/TARGET/IMPACT,# of new HIV infections per 1000 uninfected population,NUMBER,AGGREGATE,NUMBER,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
"[GC7/H-KRCS/HIV I-4/COMMENT/IMPACT] # of AIDS-related deaths per 100,000 population",AytchAc6UeD,GC7/H-KRCS/HIV I-4/COMMENT/IMPACT,GC7/H-KRCS/HIV I-4/COMMENT/IMPACT,"# of AIDS-related deaths per 100,000 population",LONG_TEXT,AGGREGATE,LONG_TEXT,,Inverse,bjDvmb4bfuf,Programmes PR,GC7,No
